ID,GEN_BANK_ID,M27_Root,M793_Root,M9_Root
MDP0000282326,103409308,1.819552905,2.020409489,2.337439274
MDP0000282330,#N/A,0,0.808379158,0.063982724
MDP0000282331,#N/A,1.737120562,1.023208688,1.245526707
MDP0000282332,#N/A,6.156148557,4.749465313,5.718455952
MDP0000282334,103418509,5.041852189,1.554859569,1.659986071
MDP0000282335,#N/A,1.766768388,2.771585685,3.178570321
MDP0000282341,103410548,8.070037802,11.80923651,7.196886028
MDP0000282354,103405048,1.639094371,3.603845802,0.802741741
MDP0000282358,#N/A,2.383093504,1.467551058,1.402418246
MDP0000282360,#N/A,2.117685144,1.226506309,1.514404887
MDP0000282364,#N/A,2.313757856,1.758050949,2.860866502
MDP0000282365,#N/A,0.010757077,0.029531194,0
MDP0000282367,103416040,0.449139231,0.0465288,0.468780401
MDP0000282375,103453727,1.652321853,1.56603007,0.875132125
MDP0000282378,#N/A,7.577889877,4.613550655,6.498107506
MDP0000282387,#N/A,6.990237227,5.800774964,6.440349599
MDP0000282390,#N/A,0,0,0
MDP0000282397,103402887,5.330099779,5.572076221,4.913134936
MDP0000282398,103408044,0.164024789,0.013645275,0.087751242
MDP0000282409,103440059,2.06574137,2.123902888,2.121539335
MDP0000282413,#N/A,0,0,0
MDP0000282414,#N/A,0.086503497,0.126654064,0.162899635
MDP0000282415,#N/A,1.734081104,3.985858266,0.771388906
MDP0000282421,103437786,11.66067136,20.69910554,25.12116449
MDP0000282424,#N/A,0,0,0
MDP0000282427,#N/A,3.737661624,2.196048595,3.149235385
MDP0000282431,#N/A,1.193184977,1.182865503,1.627765136
MDP0000282435,103448313,4.143259824,1.793569758,3.737680146
MDP0000282442,103433380,4.465789032,4.465004882,6.440360321
MDP0000282443,103413387,16.20068685,39.35878852,33.41078199
MDP0000282444,103441627,0,0,0
MDP0000282446,103421298,1.406440625,4.001476833,2.212139539
MDP0000282448,103421545,2.694692962,1.927882396,2.018278571
MDP0000282450,#N/A,0.048317699,0,0.07582483
MDP0000282452,#N/A,12.15175698,11.90403502,14.06863142
MDP0000282454,#N/A,0,0,0
MDP0000282458,103409186,0.858049402,0.62412972,0.984006005
MDP0000282462,#N/A,3.46668608,2.57752787,3.825183373
MDP0000282463,#N/A,1.512935208,1.587083638,1.183503226
MDP0000282472,103448051,1.003582371,1.26822763,1.706162268
MDP0000282487,#N/A,0,0.015646048,0
MDP0000282488,#N/A,0,0,0
MDP0000282490,103417269,2.985412849,3.559546661,2.480294148
MDP0000282492,#N/A,12.18739951,14.39368198,16.78126326
MDP0000282494,103425738,1.737517256,4.734639255,3.453795913
MDP0000282495,#N/A,14.01326295,9.617584669,12.6708945
MDP0000282499,#N/A,29.26360457,19.53949769,26.72405122
MDP0000282505,#N/A,6.823068513,4.268241955,4.784956656
MDP0000282506,#N/A,1.014836586,0.447946895,0.716661101
MDP0000282520,#N/A,1.134551808,0.692147344,1.112780618
MDP0000282523,103407299,0.02711784,0,0.031916963
MDP0000282527,103407375,0.157190423,0.222304269,0.487750655
MDP0000282531,103424043,3.617931516,2.318315943,2.22611321
MDP0000282533,#N/A,5.194930856,3.615922304,3.57859951
MDP0000282534,#N/A,4.48095668,4.224751863,2.956616527
MDP0000282535,103434051,2.605785304,1.076630538,1.374480893
MDP0000282536,103437084,0.041794521,0.076491791,0
MDP0000282541,#N/A,3.631690576,3.934111903,2.957423684
MDP0000282542,#N/A,5.97331394,7.181578767,5.179331767
MDP0000282545,103436777,4.536321028,6.106992074,5.955180064
MDP0000282546,#N/A,12.96666655,14.76811717,11.49180908
MDP0000282556,#N/A,5.194299061,1.503585234,1.060513649
MDP0000282558,#N/A,1.18213499,0.819199982,1.269767385
MDP0000282567,#N/A,14.56310921,26.76970528,20.34671576
MDP0000282574,103402612,4.343716224,4.272493192,4.975740159
MDP0000282583,103440431,0.895044358,0.861149964,0.827001951
MDP0000282589,#N/A,15.83283818,35.38920795,26.88198927
MDP0000282593,103443663,0,0,0.031916963
MDP0000282599,103443664,10.17584288,5.372699424,6.30099025
MDP0000282600,#N/A,1.32596263,1.40966185,2.754038987
MDP0000282605,#N/A,2.778612117,1.782056214,1.802885909
MDP0000282614,#N/A,0.129563015,0.251944838,0.247799758
MDP0000282616,#N/A,2.60650301,3.075644938,2.610306952
MDP0000282621,#N/A,0,0,0
MDP0000282628,103439449,0.449373699,0.379586735,0.501777558
MDP0000282629,103451556,0.024293065,0,0
MDP0000282633,103444635,0,0.044166411,0
MDP0000282635,103420100,0.019434452,0,0
MDP0000282639,103425921,0,0.065867931,0
MDP0000282640,#N/A,0,0,0.026191401
MDP0000282648,#N/A,0,0,0.049725704
MDP0000282658,#N/A,2.501342753,4.140329341,3.073895565
MDP0000282660,103402951,0,0.017608259,0
MDP0000282666,103403851,0.47594577,0.925511648,0.07002191
MDP0000282668,#N/A,0.01218461,0.011150057,0.007170478
MDP0000282670,103439491,0.479863019,0.548899428,0.84717866
